id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_16	9	0.057118	0.20785	0.456803	400	6	-0.49134	0.91512	0.91372	1.0	736	0	-0.49134
Region_456	3	0.057175	0.13551	0.356325	401	3	-0.86636	0.93301	0.93273	1.0	762	0	-0.86636
Region_680	9	0.057239	0.20808	0.456803	402	5	-0.25878	0.94443	0.9435	1.0	775	0	-0.25878
Region_883	6	0.058302	0.18362	0.426949	403	4	-0.21151	0.87651	0.8773	1.0	685	0	-0.21151
Region_794	12	0.060113	0.23843	0.49468	404	9	-0.28789	0.97514	0.97517	1.0	846	0	-0.28789
Region_730	18	0.060596	0.26627	0.525857	405	11	-0.12604	0.97982	0.97924	1.0	863	0	-0.12604
Region_496	21	0.060969	0.27961	0.537393	406	13	-0.34315	0.44011	0.44208	1.0	289	0	-0.34315
Region_448	3	0.06112	0.14369	0.372317	407	3	-0.35779	0.93888	0.93857	1.0	770	0	-0.35779
Region_869	3	0.061554	0.14468	0.372317	408	3	-0.66696	0.93845	0.93811	1.0	769	0	-0.66696
Region_418	9	0.061711	0.22003	0.471207	409	6	-0.55668	0.69385	0.69236	1.0	480	0	-0.55668
Region_45	6	0.061924	0.19239	0.440806	410	5	-0.38001	0.98353	0.98348	1.0	879	0	-0.38001
Region_575	7	0.062435	0.21156	0.459948	411	6	-0.15395	0.98134	0.98166	1.0	869	0	-0.15395
Region_77	15	0.063315	0.26541	0.525549	412	10	-0.50233	0.8389	0.8391	1.0	643	0	-0.50233
Region_731	3	0.063571	0.1489	0.381296	413	3	-0.30002	0.93643	0.9361	1.0	767	0	-0.30002
Region_558	12	0.063611	0.24869	0.504864	414	7	-0.14355	0.06824	0.068871	1.0	34	1	-0.14355
Region_526	6	0.064283	0.19746	0.447182	415	2	0.24007	0.46401	0.46424	1.0	310	0	0.24007
Region_82	9	0.064996	0.22908	0.481621	416	6	-0.48278	0.35863	0.35678	1.0	229	0	-0.48278
Region_60	6	0.065292	0.19993	0.449366	417	5	-0.30089	0.77669	0.77661	1.0	574	0	-0.30089
Region_795	15	0.066807	0.27499	0.535244	418	6	0.39278	0.21751	0.21737	1.0	126	0	0.39278
Region_6	6	0.066861	0.20361	0.452259	419	4	-0.24431	0.47045	0.47103	1.0	315	0	-0.24431
Region_584	3	0.066946	0.15653	0.390794	420	3	-1.0425	0.89245	0.89325	1.0	703	0	-1.0425
Region_317	9	0.06718	0.2352	0.489059	421	6	-0.52903	0.98316	0.98229	1.0	878	0	-0.52903
Region_865	3	0.067549	0.15772	0.390794	422	3	-0.84988	0.93245	0.93214	1.0	761	0	-0.84988
Region_398	20	0.068735	0.29841	0.549917	423	9	0.10034	0.13048	0.13232	1.0	66	1	0.10034
Region_555	3	0.06882	0.16028	0.395049	424	3	-0.75149	0.93118	0.93074	1.0	759	0	-0.75149
Region_367	12	0.069735	0.26754	0.526295	425	9	-0.15507	0.9636	0.96327	1.0	812	0	-0.15507
Region_106	3	0.070675	0.1638	0.400598	426	2	-0.46657	0.84657	0.84788	1.0	651	0	-0.46657
Region_571	5	0.071798	0.19822	0.447182	427	4	-0.29987	0.93309	0.93378	1.0	763	0	-0.29987
Region_279	6	0.072487	0.21751	0.467726	428	5	-0.37908	0.97118	0.97116	1.0	831	0	-0.37908
Region_657	9	0.073177	0.25124	0.508955	429	6	-0.49603	0.33216	0.33025	1.0	213	0	-0.49603
Region_911	12	0.073249	0.27721	0.537345	430	7	-0.14292	0.076326	0.07693	1.0	38	1	-0.14292
Region_940	3	0.073265	0.16914	0.408526	431	2	-0.0014009	0.8349	0.83624	1.0	637	0	-0.0014009
Region_464	3	0.073311	0.16921	0.408526	432	3	-0.67484	0.92669	0.92656	1.0	750	0	-0.67484
Region_104	9	0.074296	0.25433	0.511916	433	4	0.11566	0.81571	0.81475	1.0	620	0	0.11566
Region_365	6	0.074296	0.22152	0.471207	434	5	-0.24999	0.95071	0.9512	1.0	788	0	-0.24999
Region_431	6	0.074407	0.22175	0.471207	435	4	-0.10616	0.73818	0.73786	1.0	534	0	-0.10616
Region_703	3	0.075291	0.17325	0.414042	436	2	-0.3104	0.43255	0.43171	1.0	285	0	-0.3104
Region_111	9	0.075543	0.25763	0.51635	437	7	-0.25325	0.74218	0.74061	1.0	539	0	-0.25325
Region_930	3	0.075823	0.17416	0.415168	438	2	-1.089	0.86951	0.87035	1.0	675	0	-1.089
Region_228	12	0.076289	0.2842	0.539809	439	8	-0.41539	0.662	0.65915	1.0	456	0	-0.41539
Region_683	6	0.076648	0.22681	0.477918	440	5	-0.28808	0.97448	0.97444	1.0	842	0	-0.28808
Region_568	6	0.078585	0.23183	0.485165	441	5	-0.47213	0.97866	0.97855	1.0	860	0	-0.47213
Region_316	3	0.078961	0.1806	0.424106	442	2	-0.72067	0.15324	0.15384	1.0	80	0	-0.72067
Region_284	6	0.07971	0.23433	0.488323	443	5	-0.324	0.74695	0.74659	1.0	541	0	-0.324
Region_354	3	0.080108	0.18314	0.426949	444	2	-0.87335	0.62121	0.62136	1.0	420	0	-0.87335
Region_811	3	0.080212	0.18337	0.426949	445	3	-0.15394	0.91979	0.91978	1.0	743	0	-0.15394
Region_665	9	0.080891	0.27088	0.530529	446	3	0.15164	0.35637	0.35459	1.0	228	0	0.15164
Region_153	3	0.082068	0.18747	0.433743	447	2	-0.92183	0.789	0.79032	1.0	589	0	-0.92183
Region_277	6	0.082832	0.24087	0.496868	448	5	-0.49199	0.97667	0.97659	1.0	849	0	-0.49199
Region_834	8	0.082873	0.26104	0.520984	449	6	-0.52925	0.22999	0.22975	1.0	136	0	-0.52925
Region_119	3	0.083558	0.1906	0.438853	450	2	-0.99399	0.53171	0.53022	1.0	358	0	-0.99399
Region_366	9	0.084465	0.28008	0.537393	451	6	-0.17943	0.76571	0.765	1.0	567	0	-0.17943
Region_72	6	0.084507	0.24483	0.501338	452	2	0.33481	0.013247	0.013737	1.0	7	1	0.33481
Region_439	9	0.0857	0.28311	0.539809	453	5	-0.55394	0.82833	0.82696	1.0	632	0	-0.55394
Region_655	3	0.085776	0.19485	0.445373	454	1	0.14625	0.73619	0.73719	1.0	526	0	0.14625
Region_786	6	0.08613	0.2485	0.504864	455	5	-0.28873	0.84134	0.84199	1.0	645	0	-0.28873
Region_221	9	0.086653	0.28536	0.540792	456	6	-0.28248	0.9245	0.92311	1.0	748	0	-0.28248
Region_716	27	0.086825	0.37526	0.619314	457	15	-0.14917	0.92447	0.92434	1.0	747	0	-0.14917
Region_33	3	0.087363	0.19767	0.447182	458	2	-0.91015	0.046663	0.046001	1.0	23	0	-0.91015
Region_601	6	0.087725	0.25226	0.509926	459	5	-0.56402	0.65733	0.65757	1.0	450	0	-0.56402
Region_50	3	0.087811	0.19848	0.447182	460	3	-0.10884	0.91219	0.91235	1.0	734	0	-0.10884
Region_35	18	0.087956	0.34243	0.594222	461	7	0.30495	0.84255	0.84185	1.0	646	0	0.30495
Region_374	2	0.088523	0.15341	0.386181	462	2	-0.51765	0.91148	0.91085	1.0	733	0	-0.51765
Region_29	3	0.089586	0.20202	0.451747	463	3	-0.22667	0.91041	0.91053	1.0	731	0	-0.22667
Region_745	1	0.089622	0.089958	0.273937	464	1	-1.4232	0.91038	0.91094	1.0	730	0	-1.4232
Region_718	6	0.092127	0.26241	0.521643	465	5	-0.40464	0.9655	0.96537	1.0	817	0	-0.40464
Region_75	6	0.092163	0.26248	0.521643	466	5	-0.41047	0.98306	0.98298	1.0	876	0	-0.41047
Region_212	3	0.092883	0.20881	0.457348	467	3	-0.42797	0.90712	0.90737	1.0	723	0	-0.42797
Region_454	3	0.09387	0.21094	0.459876	468	2	-0.82573	0.6741	0.67409	1.0	460	0	-0.82573
Region_548	9	0.094475	0.30298	0.555367	469	6	-0.25535	0.91712	0.9158	1.0	738	0	-0.25535
Region_433	3	0.094667	0.21243	0.459948	470	2	-0.98064	0.41654	0.41546	1.0	277	0	-0.98064
Region_142	6	0.095562	0.27017	0.530233	471	3	-0.37461	0.34679	0.34647	1.0	222	0	-0.37461
Region_661	3	0.09624	0.21523	0.463865	472	3	-0.36654	0.90376	0.90376	1.0	721	0	-0.36654
Region_263	15	0.09657	0.34977	0.598156	473	7	0.23749	0.78331	0.78376	1.0	581	0	0.23749
