id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_250	6	0.43814	0.57869	1.0	500	1	0.46492	0.01946	0.021825	0.638488	37	1	0.46492
Region_29	3	0.43855	0.45138	1.0	501	1	-0.30113	0.35848	0.3573	0.88422	380	0	-0.30113
Region_140	6	0.44122	0.58166	1.0	502	2	0.17058	0.20048	0.19886	0.866965	221	0	0.17058
Region_142	6	0.44432	0.58453	1.0	503	2	-0.08603	0.92754	0.92751	0.9949	881	0	-0.08603
Region_233	42	0.44542	0.81158	1.0	504	6	0.31944	0.61686	0.61548	0.953749	610	0	0.31944
Region_666	3	0.44602	0.45817	1.0	505	1	-0.052062	0.83678	0.83825	0.978122	805	0	-0.052062
Region_768	6	0.44637	0.58669	1.0	506	2	-0.26931	0.97788	0.97784	0.9949	928	0	-0.26931
Region_480	7	0.4469	0.59493	1.0	507	2	0.28066	0.37556	0.37491	0.886925	398	0	0.28066
Region_214	6	0.44742	0.58775	1.0	508	2	0.024334	0.4571	0.45733	0.910959	474	0	0.024334
Region_600	3	0.4479	0.45974	1.0	509	1	-0.18871	0.85773	0.85878	0.98731	822	0	-0.18871
Region_763	4	0.44823	0.49504	1.0	510	1	-0.28955	0.18688	0.18756	0.866965	199	0	-0.28955
Region_99	15	0.44917	0.70631	1.0	511	4	-0.16585	0.65441	0.65585	0.958295	642	0	-0.16585
Region_737	19	0.44985	0.73579	1.0	512	4	0.30456	0.83961	0.8387	0.978122	810	0	0.30456
Region_748	6	0.45394	0.59479	1.0	513	1	0.30279	0.0081741	0.011895	0.546941	19	1	0.30279
Region_330	6	0.45401	0.59487	1.0	514	2	-0.083584	0.82414	0.82473	0.978122	788	0	-0.083584
Region_450	12	0.45672	0.681	1.0	515	3	0.08337	0.72048	0.71799	0.978122	691	0	0.08337
Region_546	3	0.45812	0.46796	1.0	516	1	0.048178	0.33329	0.33216	0.880775	357	0	0.048178
Region_616	1	0.45873	0.4588	1.0	517	0	-0.076507	0.54127	0.54125	0.953749	532	0	-0.076507
Region_113	3	0.45904	0.46865	1.0	518	1	0.029559	0.81464	0.81533	0.978122	779	0	0.029559
Region_474	6	0.4635	0.60432	1.0	519	1	0.35164	0.046765	0.048189	0.752949	61	1	0.35164
Region_668	9	0.46397	0.64977	1.0	520	1	0.25598	0.3871	0.38446	0.886925	411	0	0.25598
Region_882	3	0.46471	0.47307	1.0	521	1	0.028612	0.69703	0.69818	0.976414	675	0	0.028612
Region_75	6	0.46631	0.60736	1.0	522	1	0.66567	0.029231	0.030775	0.6917	45	1	0.66567
Region_521	3	0.46678	0.47493	1.0	523	1	0.15405	0.55586	0.5545	0.953749	545	0	0.15405
Region_179	6	0.46693	0.60812	1.0	524	1	0.39852	0.00059041	0.0012029	0.546941	1	2	0.39852
Region_632	3	0.46732	0.47533	1.0	525	1	-0.37432	0.83218	0.8334	0.978122	798	0	-0.37432
Region_672	6	0.4677	0.60888	1.0	526	2	-0.037265	0.3929	0.39285	0.886925	418	0	-0.037265
Region_662	3	0.46775	0.47576	1.0	527	1	-0.11602	0.48911	0.48781	0.919479	500	0	-0.11602
Region_307	3	0.46971	0.47741	1.0	528	1	0.40797	0.42582	0.42505	0.905751	443	0	0.40797
Region_525	15	0.46989	0.72295	1.0	529	3	0.0010013	0.070257	0.083741	0.840329	84	1	0.0010013
Region_42	3	0.47052	0.47808	1.0	530	1	0.26534	0.51742	0.51554	0.952384	512	0	0.26534
Region_926	6	0.47081	0.61213	1.0	531	2	-0.24229	0.60234	0.60252	0.953749	593	0	-0.24229
Region_283	8	0.47114	0.63064	1.0	532	1	0.10443	0.58119	0.58046	0.953749	566	0	0.10443
Region_596	10	0.47306	0.68059	1.0	533	3	-0.17178	0.55832	0.55858	0.953749	547	0	-0.17178
Region_43	9	0.47412	0.65617	1.0	534	2	-0.022011	0.41761	0.41524	0.900536	436	0	-0.022011
Region_31	9	0.47506	0.65675	1.0	535	2	-0.016862	0.94049	0.9393	0.9949	891	0	-0.016862
Region_415	3	0.47875	0.48488	1.0	536	1	0.26924	0.63338	0.63278	0.955787	625	0	0.26924
Region_633	2	0.47986	0.47658	1.0	537	0	0.16385	0.19619	0.19643	0.866965	210	0	0.16385
Region_661	3	0.48076	0.48675	1.0	538	1	-0.33948	0.92742	0.92727	0.9949	880	0	-0.33948
Region_203	2	0.48122	0.47813	1.0	539	0	-0.30029	0.88204	0.88072	0.988775	841	0	-0.30029
