bin,coeff,pval,fdr,Result,Construct
PHOX2B.04303,0.00437513638238464,0.397848705001137,0.5837697546489439,NoChange,VPR
PHOX2B.04304,-0.00831437701293369,0.0762494760442838,0.20520115672490472,NoChange,VPR
PHOX2B.04305,-0.00245474462202336,0.555581990520722,0.7200649172655997,NoChange,VPR
PHOX2B.04306,-0.00613476744741466,0.19542721033133,0.3763391568828687,NoChange,VPR
PHOX2B.04307,-0.00450116592674895,0.264465709122502,0.4530949752746236,NoChange,VPR
PHOX2B.04308,-0.0123510848250177,0.0150386617560379,0.07327842090507629,NoChange,VPR
PHOX2B.04309,-0.00816243295823932,0.114557489767314,0.2648617311459688,NoChange,VPR
PHOX2B.04310,-0.0117166297094374,0.119086728373958,0.27173818825493107,NoChange,VPR
PHOX2B.04311,-0.0121153766548328,0.0781443404484001,0.20798613783850417,NoChange,VPR
PHOX2B.04312,-0.0291380569768136,9.7431466183167e-4,0.014334202849084597,Depleted,VPR
PHOX2B.04313,-0.0257880604042168,0.00103326083934804,0.014857455732087077,Depleted,VPR
PHOX2B.04314,-0.0224750172676043,0.0103720669533661,0.05850042603904256,NoChange,VPR
PHOX2B.04315,-0.00176629147737568,0.720302998236549,0.8383649108790234,NoChange,VPR
PHOX2B.04316,1.8746154441218e-4,0.97013805245125,0.984003516284472,NoChange,VPR
PHOX2B.04318,-0.00414252074254015,0.437435572724012,0.6188862168074156,NoChange,VPR
PHOX2B.04319,-0.013900897252639,0.0550681276098954,0.16713326642836313,NoChange,VPR
PHOX2B.04320,-0.0123625279189139,0.0486315726909809,0.15420284226607386,NoChange,VPR
PHOX2B.04321,-0.0119369485431362,0.0559177657246313,0.16862350347726188,NoChange,VPR
PHOX2B.04322,0.00118214075326102,0.695383183572847,0.8212104931137492,NoChange,VPR
PHOX2B.04323,-0.00747987021773098,0.0951463529225929,0.23589806670489563,NoChange,VPR
PHOX2B.04324,-0.00453651959490395,0.385164896475207,0.5718317261856256,NoChange,VPR
PHOX2B.04325,-0.00241619982445909,0.671968793782215,0.8049666288266462,NoChange,VPR
PHOX2B.04326,0.0110579973951923,0.00501890294965492,0.03808126770738622,Enriched,VPR
PHOX2B.04327,0.012431091496142,0.00825509832321153,0.051179219977593386,NoChange,VPR
