Gene,pvalue,estimate,fdr,Result,Construct
Region_194,7.79201982709482e-4,-0.017823801958015615,0.003362489795405172,Depleted,VPR
Region_195,0.7643776637059327,0.0030426777721631404,0.8081841029124716,NoChange,VPR
Region_196,0.39909960199093886,-0.010969355018902303,0.467339430310633,NoChange,VPR
Region_197,0.0168355922902755,-0.013788868374186953,0.0353938963497885,Depleted,VPR
Region_198,0.047417730642391485,-0.015344380896763928,0.07865252935912276,NoChange,VPR
Region_199,2.510295365885484e-6,0.03321024305680864,5.15751593354654e-5,Enriched,VPR
Region_200,0.006064339051468545,0.01839524340885124,0.015708202012972964,Enriched,VPR
Region_201,0.2673713971781237,-0.006475920782549338,0.33338447317106734,NoChange,VPR
Region_202,0.07972204244254118,-0.020717765598146417,0.12153242220583005,NoChange,VPR
Region_203,0.38048658562447535,-0.007466438323759496,0.45198406492053317,NoChange,VPR
Region_204,0.0030388662056531775,-0.05185242078245079,0.00944032663199475,Depleted,VPR
Region_205,0.061408261417556294,-0.010852168230873977,0.09740158005253433,NoChange,VPR
Region_206,2.033683870523705e-5,0.029397243353982094,2.3875976869525053e-4,Enriched,VPR
Region_207,0.8909342373316912,-8.36332812449626e-4,0.9131570867889444,NoChange,VPR
Region_208,0.0012452185987301058,-0.03448675626644318,0.004730479369745251,Depleted,VPR
Region_209,0.23197472339667868,-0.01694735884784424,0.29703279029829677,NoChange,VPR
Region_210,0.23100042820470515,-0.005175369824627118,0.29620480439298363,NoChange,VPR
Region_211,0.30343624562603666,-0.010707772233468225,0.3701840297516021,NoChange,VPR
Region_212,0.2066795532421438,-0.006045525085030023,0.2707801683056492,NoChange,VPR
Region_213,0.5562555606205125,-0.005916473870672061,0.6192795896563341,NoChange,VPR
Region_214,0.5613267082067123,-0.004691868698906357,0.6241566349555571,NoChange,VPR
Region_215,0.005149272335935578,-0.05289789091843759,0.013936952669717851,Depleted,VPR
Region_216,0.007103945473265816,0.024512893026979506,0.01778938146213933,Enriched,VPR
Region_217,0.2180166648423262,-0.0073313608083905215,0.28155295002494696,NoChange,VPR
Region_218,3.6034059239061547e-05,-0.019524060799202107,3.5166464252159557e-4,Depleted,VPR
Region_219,0.684975833398467,-0.002273535200388488,0.7354134838387342,NoChange,VPR
Region_221,0.061414713086221866,-0.008441517410291623,0.09740158005253433,NoChange,VPR
Region_222,2.0138882315411333e-4,-0.014194266865406835,0.001221848967324285,Depleted,VPR
Region_223,0.0043813111499331776,-0.02695790804591648,0.012455048048866643,Depleted,VPR
Region_224,0.019747098664581523,-0.014824715960097058,0.04002550940085582,Depleted,VPR
Region_225,0.5456460317481088,0.0037685140936904184,0.6104752632429337,NoChange,VPR
Region_227,0.09578109888859974,-0.0118069587808183,0.14148057744329112,NoChange,VPR
Region_228,0.019199163953294348,-0.013977237317803754,0.03909539403731068,Depleted,VPR
Region_229,1.1738194507175721e-7,-0.022703042315264106,4.4213865977028545e-6,Depleted,VPR
