Gene,pvalue,estimate,adj_pvalue
PHOX2B.09582,0.01531378706252237,-0.02647269633396143,0.06499357112511187
PHOX2B.09583,0.18138763642300548,-0.017389126070463636,0.3314053729115913
PHOX2B.09585,0.21900245701124582,-0.01856098177752581,0.3761022477621989
PHOX2B.09586,0.05613354626750526,0.01515111729051728,0.15080110948730951
PHOX2B.09588,0.6011270358236505,-0.003602155993643511,0.7324732228184582
PHOX2B.09589,0.012394875138983229,-0.02362914585986846,0.056618417640515256
PHOX2B.09590,0.18127989045346224,-0.006728740759316048,0.33132698709444647
PHOX2B.09595,0.06240802101766433,-0.014872367038338902,0.16195235384793916
PHOX2B.09596,0.7167521892797212,-0.0034903277297306814,0.8169450746872515
PHOX2B.09597,0.011418494754080072,-0.021527417057125565,0.05354189089314236
PHOX2B.09598,0.5278820318610327,-0.006763646337958163,0.6744193180976662
PHOX2B.09599,0.02495599115784569,-0.022397526842958742,0.08921417641292365
PHOX2B.09600,0.20171476280963488,-0.011095894398848517,0.3556165151361579
PHOX2B.09601,0.9367731246663051,-4.682136752486274e-4,0.963999938088888
PHOX2B.09602,0.1870853895493893,-0.014797757638605214,0.3375905752092511
PHOX2B.09604,0.03664176585345273,-0.013440110960740933,0.11448871356860515
PHOX2B.09605,0.0010261983326008803,-0.01791519965901704,0.012504446931986402
PHOX2B.09606,0.13026930221911476,0.011031244111401491,0.26508196957798447
PHOX2B.09608,7.936414041717677e-4,-0.04690397716463599,0.010643682488669315
PHOX2B.09609,0.3689450725732418,0.007335551287484968,0.5312379313803516
PHOX2B.09610,0.10535721709554174,0.011578046835760527,0.23127893181405693
PHOX2B.09611,0.8506573357712659,0.002261194274459191,0.9113926974847136
PHOX2B.09612,0.23544352473577293,-0.012996284848818103,0.39495297062444945
PHOX2B.09613,6.388352064814443e-4,-0.0349746359340826,0.009452417837986544
PHOX2B.09614,0.009853237317827121,-0.029969389601360537,0.04883293722760167
PHOX2B.09615,0.01976060557428688,-0.0198537703002951,0.0761463858341487
PHOX2B.09616,0.023644432465213513,0.013877509669608618,0.08605443374682126
PHOX2B.09617,0.006456034024105119,-0.021337866711580052,0.03743310547227652
PHOX2B.09618,0.8036623102181274,-0.0024227308723849513,0.8813377846139416
PHOX2B.09619,0.1595880399364889,0.008542786642683455,0.3043828622852356
PHOX2B.09623,0.21558452055772212,-0.011149763968923391,0.37223418738784886
