Gene,pvalue,estimate,fdr,Result,Construct
Region_88,0.8437311896607196,-0.0018134292106661849,0.9189554162087838,NoChange,KRAB
Region_89,0.17720682581204572,-0.00759371870887316,0.3708216910511327,NoChange,KRAB
Region_90,0.02061333871007941,-0.008079983691454977,0.11225577225248065,NoChange,KRAB
Region_91,0.011205947749503752,-0.007062728077332735,0.08372046913678836,NoChange,KRAB
Region_92,0.1671122937401329,-0.013109884402091827,0.3596893179549527,NoChange,KRAB
Region_93,0.845461940802677,6.597278435959192e-4,0.9191231144214403,NoChange,KRAB
Region_94,0.6857821157861933,-0.0011709331203490108,0.8349267257994538,NoChange,KRAB
Region_95,0.041352666611066284,-0.0034175423144096107,0.16066868835614237,NoChange,KRAB
Region_96,0.058274024286659995,-0.008446950989630254,0.20402181265670097,NoChange,KRAB
Region_97,0.019489748608997198,0.006448445081399715,0.1074312972105699,NoChange,KRAB
Region_98,0.13864475932220183,0.020146430610964567,0.3187318383222391,NoChange,KRAB
Region_99,0.20191734914436188,-0.0033496179933151654,0.39854428739411163,NoChange,KRAB
Region_100,0.927463363566975,-5.681751290738057e-4,0.9637090582351096,NoChange,KRAB
Region_101,0.6580903359452303,0.0012967619645818664,0.8160681257811908,NoChange,KRAB
Region_102,0.740225738149191,-0.0010360738131903427,0.8645736961971465,NoChange,KRAB
Region_103,0.7185417320187292,0.00110631422144467,0.8511759225015827,NoChange,KRAB
Region_104,0.4244423231229981,-0.0028487255305112307,0.6448407556554112,NoChange,KRAB
Region_105,0.058731625745224045,-0.01088302652544311,0.20402181265670097,NoChange,KRAB
Region_106,0.4751953174791829,0.005211737282837647,0.6895290000018963,NoChange,KRAB
Region_107,0.832353862398521,-8.062715629481574e-4,0.9109538639325219,NoChange,KRAB
Region_108,0.35684017883960145,-0.006293768045745959,0.5805091902492543,NoChange,KRAB
Region_109,0.3036738754037679,0.00320318733877841,0.519926483645845,NoChange,KRAB
Region_110,0.4668390450301601,0.004607765857433409,0.6828221424178714,NoChange,KRAB
Region_111,0.7197906404762436,0.0011466516484895605,0.8511759225015827,NoChange,KRAB
Region_112,0.6071011104651356,-0.004163129360587564,0.7846886624866724,NoChange,KRAB
Region_113,0.03993425076782886,-0.0122909818426998,0.1590333158331158,NoChange,KRAB
Region_114,0.2658996410793273,-0.0045571750345078585,0.46979219865465843,NoChange,KRAB
Region_115,0.2845328863521495,0.006154252979993039,0.49233394622850146,NoChange,KRAB
Region_116,0.4091182037319423,-0.008686442461666024,0.6340236413343444,NoChange,KRAB
Region_117,0.588103589341448,-0.0036690418178939033,0.7749936512604505,NoChange,KRAB
Region_118,2.1415030120598783e-4,0.02130411439150371,0.009218660585248239,Enriched,KRAB
Region_119,0.309513600590828,0.005105043648315433,0.5277208258447806,NoChange,KRAB
Region_120,0.08075766443068613,-0.006201277512509218,0.2385781981873865,NoChange,KRAB
Region_121,0.0972781182920718,-0.024596840380117307,0.25804927072041045,NoChange,KRAB
Region_122,0.11408654711841737,-0.010652552904444513,0.28041256509805557,NoChange,KRAB
Region_123,0.7914857861192787,-8.486863481330475e-4,0.8932623603643296,NoChange,KRAB
Region_124,0.6862284925541972,0.0014942557893063496,0.8349267257994538,NoChange,KRAB
Region_125,0.26962518186477974,-0.005093722275291905,0.47420460001120796,NoChange,KRAB
Region_126,0.17716508305799455,-0.015554150168587418,0.3708216910511327,NoChange,KRAB
Region_127,0.9583272614523974,-3.3483534334041536e-4,0.9800088737024516,NoChange,KRAB
Region_128,0.08102581064482488,0.00759739052110592,0.2385906606609827,NoChange,KRAB
Region_129,0.6136890313916785,0.0013612091292039804,0.7846886624866724,NoChange,KRAB
