bin,estimate,pval,fdr,speed,Result,Construct
PHOX2B.18955,-0.00337607222222511,0.235061673775878,0.5713570306037802,stable,NoChange,KRAB
PHOX2B.18956,-0.0021565552628649,0.468491336381243,0.7567133335748859,early,NoChange,KRAB
PHOX2B.18957,-5.4425596551305e-4,0.865232139445451,0.9544707110637208,stable,NoChange,KRAB
PHOX2B.18958,0.00173441538331062,0.501471010942844,0.7758161896398934,early,NoChange,KRAB
PHOX2B.18959,-6.7158141697375e-4,0.773625964617047,0.9115213972895452,early,NoChange,KRAB
PHOX2B.18960,-0.00348895073240186,0.256864857566081,0.5908127541031886,stable,NoChange,KRAB
PHOX2B.18961,-0.00359882158337597,0.33102378412232,0.6559104939940813,early,NoChange,KRAB
PHOX2B.18962,-0.00344076319846754,0.357556799638691,0.6782821501839135,early,NoChange,KRAB
PHOX2B.18963,-0.00553355216399033,0.0914977758691835,0.3863932590556454,early,NoChange,KRAB
PHOX2B.18964,-0.00815446473054437,0.00403282013511062,0.11334596826799144,stable,NoChange,KRAB
PHOX2B.18965,-0.0107876755365371,2.407579561142e-4,0.03908927475823074,stable,Depleted,KRAB
PHOX2B.18966,-0.0059674039140203,0.0362877557370049,0.2666257202064732,early,NoChange,KRAB
PHOX2B.18967,-0.00466308464393324,0.11833215046311,0.4314122886999114,early,NoChange,KRAB
PHOX2B.18968,9.6216981300815e-4,0.728174946428543,0.8924345642451098,stable,NoChange,KRAB
PHOX2B.18969,0.00178627197252043,0.57573327513325,0.8194031966002843,stable,NoChange,KRAB
PHOX2B.18970,0.00386133789874878,0.218440717245393,0.5557099225157246,early,NoChange,KRAB
PHOX2B.18971,-1.2031022290609e-4,0.970106445215938,0.989861642891116,stable,NoChange,KRAB
PHOX2B.18972,9.4847382828052e-4,0.742303484029493,0.8980470312187646,stable,NoChange,KRAB
PHOX2B.18973,-3.3161517325359e-4,0.920330145056592,0.97286226395584,stable,NoChange,KRAB
PHOX2B.18974,0.00107527122266659,0.739525454453713,0.8974010721159162,stable,NoChange,KRAB
PHOX2B.18975,-0.00147928655238958,0.625564122902967,0.8445964745945679,early,NoChange,KRAB
PHOX2B.18976,-0.0027277927729074,0.269168967812304,0.6029889683489832,stable,NoChange,KRAB
PHOX2B.18977,-0.00450305476623758,0.094334408430512,0.3911575357334878,early,NoChange,KRAB
PHOX2B.18978,-0.00366434766448948,0.155100543626692,0.4837274134780251,stable,NoChange,KRAB
PHOX2B.18979,4.89604904441791e-5,0.984332121638691,0.9954635988246148,stable,NoChange,KRAB
PHOX2B.18980,8.2295548332251e-4,0.700935269692972,0.8802748927328431,early,NoChange,KRAB
PHOX2B.18981,9.7954239864946e-4,0.762772527122484,0.9066632291612268,stable,NoChange,KRAB
PHOX2B.18982,-0.00086356060694660005,0.815378860839313,0.9323134137810142,stable,NoChange,KRAB
PHOX2B.18983,0.00257618798008698,0.514428143017821,0.7824978930040951,stable,NoChange,KRAB
PHOX2B.18984,0.00277085215400133,0.351013975443302,0.6719330026715131,stable,NoChange,KRAB
PHOX2B.18985,0.00262502671926888,0.317427744503007,0.6447168516499526,stable,NoChange,KRAB
PHOX2B.18986,0.00131250893657082,0.678904056604363,0.8712637618434166,stable,NoChange,KRAB
